rowid;inst_name_full;country.name;year;region;inst_type;mfiname;asofdate;inst_num;year_founded;permfi;mfiid;diamonds;assets;numborrs;numborrsind;numborrsgrp;numborrsshg;numloans;numloansind;numloansgrp;numloansshg;loanport;loanportind;loanportgrp;loanportshg;avgbalnc;avgbalncpinc;avgloanpbpinc;oss;frpa;fepa;oepa;cpb;cpl;par30;par90;writeoffratio;loanlossrate;maxdiamonds;regular_case;log_par30;log_par90;age;share_grp;log_avg_loan;log_ass_loan;log_numborrs;wdi_gdpgrowth;wdi_rural;wdi_laborforce;wdi_fdi;wdi_manufac;wdi_agricul;wdi_remittances;wdi_gini;wdi_inflation;wdi_privcredit;wdi_bankdens;wdi_atmdens;db_getcredit;db_enfcontract;db_registprop;wgi_cor;wgi_eff;wgi_reg;wgi_acc;wgi_law;wgi_sta;wdi_gdp;wdi_gdp_sq;swiid_gini;hdi;hdi_sq;efi_score;fgi_econ;fgi_ineq;cooperation;coop_srvy_years
11;ADRIA mikro;Bosnia & Herzegovina;2010;Eastern Europe and Central Asia;NBFI;ADRIA mikro;2010-12-31;23;2008;1;128911;4;937671,23;509;0;0;0;512;512;0;0;857534,25;857534,250;0,00000;0,00;1674,87;0,3602;0,3623;0,9257;0,2402;0,0460;0,1927;NA;NA;0,025600;0,009600;0,0548;0,0548;4;TRUE;-3,66516292749662087;-4,6459921805083466;2;0,00000000000000e+00;7,42349177387604;8,93382665668620e-02;6,23244801655052;2,62997048976155012;54,44200000000000;54,073;2,583954498751890;10,88480804020900;6,796762159137640;10,6091172731045997;NA;1,9962123674588901;61,84531111917000;31,514774952799900;35,1658769290389017;62,5;57,6;58,7;-0,33640155196189903;-0,737868010997771995;-0,119476206600666005;-0,082449205219745594;-0,35564887523651101;-0,693730175495148038;10635,18719899190;113107206,75760117;39,0;0,725;0,525625;56,20000000;5,7;7,1;9,11172429817460;"1998; 2001; 2008; 2019"
12;AFS Credit Union;Azerbaijan;2012;Eastern Europe and Central Asia;Credit Union/Cooperative;AFS Credit Union;2012-12-31;26;2010;1;150998;4;1160287,18;641;0;0;0;641;641;0;0;1118346,15;1118346,150;0,00000;0,00;1744,69;0,2619;0,2619;1,7991;0,2838;0,0191;0,1387;246,1984;NA;0,000000;0,000000;0,0000;0,0000;4;TRUE;-9,90348755253612723;-9,9034875525361272;2;0,00000000000000e+00;7,46433204324017;3,68166012470803e-02;6,46302945692067;0,81668412824123504;46,11700000000000;65,830;7,596083567606870;4,24121862424352;5,139769507724180;2,8560097472403201;NA;1,0662133972031300;19,81132792712221;9,694686811614730;31,3896736307296997;62,5;70,1;92,5;-1,14269411563873002;-0,787990510463715044;-0,488716810941696000;-1,299481630325320047;-0,87953269481658902;-0,715751826763152965;14027,46879025400;196769880,66155005;NA;0,734;0,538756;58,90000000;5,2;6,6;9,04431298881096;"2011; 2018"
13;AREGAK Universal Credit Organization CJSC;Armenia;2008;Eastern Europe and Central Asia;NBFI;AREGAK UCO;2008-12-31;41;2006;1;104208;4;30784777,87;26135;0;0;0;26180;25240;940;0;24750323,84;18782646,050;5967677,79000;0,00;945,39;0,2822;0,2827;1,2480;0,2927;0,0690;0,1568;160,7804;160,6263;0,013500;0,009000;0,0000;0,0000;4;TRUE;-4,30506559353775309;-4,7105307016459177;2;2,41115139687805e-01;6,85159809187393;2,18181769436556e-01;10,17103069114702;7,65145505823370975;36,36000000000000;68,524;8,092349209177820;8,84215177305394;16,308446804234126;16,3270491787545993;29,2;8,9499533535338607;19,38673968654676;17,313800387777601;23,1137087062638997;68,8;57,4;92,9;-0,71241235733032204;-0,170738294720649997;0,300939857959746981;-0,857629656791687012;-0,33775135874748202;-0,006853027734905480;10201,55945103860;104071815,23307498;36,3;0,742;0,550564;69,85391650;5,6;6,0;8,82636337247188;"2008; 2011; 2018; 2021"
14;AREGAK Universal Credit Organization CJSC;Armenia;2009;Eastern Europe and Central Asia;NBFI;AREGAK UCO;2009-12-31;41;2006;1;104208;4;29477617,83;30180;894;29286;0;30186;900;29286;0;21723202,52;3104900,900;18618301,62000;0,00;719,64;0,2707;0,2708;1,6194;0,2693;0,0489;0,0889;95,1081;95,0220;0,037400;0,024200;0,0172;0,0172;4;TRUE;-3,28608457456165093;-3,7214026458194960;3;8,57069835944245e-01;6,57875796811378;3,05250327877886e-01;10,31493473232184;-13,54579168277649970;36,46000000000000;69,247;8,788694552480891;8,69324759497474;16,911795740519871;16,6491646925978998;28,0;3,4067668268379898;24,85492196935880;17,790206512852500;30,2390435157928010;68,8;58,5;93,2;-0,62145966291427601;-0,019941108301281901;0,273454070091248003;-0,876420259475708008;-0,46871069073677102;0,227863356471062012;8819,67745940627;77786710,48795904;36,0;0,741;0,549081;69,89791992;5,3;6,5;8,82636337247188;"2008; 2011; 2018; 2021"
15;AREGAK Universal Credit Organization CJSC;Armenia;2010;Eastern Europe and Central Asia;NBFI;AREGAK UCO;2010-12-31;41;2006;1;104208;4;28086850,65;28886;0;0;0;28922;650;28272;0;23365529,39;1539703,940;21825825,45000;0,00;807,88;0,2394;0,2397;2,1980;0,3016;0,0400;0,0938;91,4152;91,3502;0,031000;0,012600;0,0370;0,0370;4;TRUE;-3,47376807449699099;-4,3740584650247047;4;9,34103614161682e-01;6,69441456107879;1,84039685129851e-01;10,27111232766111;2,82448188304338998;36,56000000000000;69,301;5,716037845460040;9,68462338925983;16,999148633691316;18,0268407541102000;30,0;8,1763613847395593;28,44516459979590;18,555525684515501;34,0472320118202987;68,8;58,5;93,2;-0,69503957033157304;-0,166394770145416010;0,268946558237076028;-0,847521543502807950;-0,48135831952094998;0,071855328977108002;9068,78765139006;82242909,46600482;35,9;0,746;0,556516;69,20000000;5,8;6,5;8,82636337247188;"2008; 2011; 2018; 2021"
16;AREGAK Universal Credit Organization CJSC;Armenia;2011;Eastern Europe and Central Asia;NBFI;AREGAK UCO;2011-12-31;41;2006;1;104208;4;29955332,88;26660;0;0;0;26709;804;25905;0;25133135,44;2375570,360;22757565,07000;0,00;941,00;0,2740;0,2745;2,3045;0,3170;0,0294;0,1009;105,4682;105,3071;0,013900;0,006700;0,0103;0,0103;4;TRUE;-4,27586643884549122;-5,0056477525852170;5;9,05480541189492e-01;6,84694180429724;1,75520255568397e-01;10,19091959373270;5,31901835183820015;36,66000000000000;69,313;6,440668367053620;10,56847933437687;20,325348252764677;17,7342235057517996;29,4;7,6500080785928999;35,36788787203500;19,979787187217099;43,5412640861814992;68,8;58,5;92,9;-0,66455942392349199;-0,108996279537678001;0,246940597891808000;-0,690779805183410978;-0,43770641088485701;-0,063868984580040006;9551,15813085673;91224621,64063060;35,7;0,750;0,562500;69,70000000;5,3;6,2;8,82636337247188;"2008; 2011; 2018; 2021"
17;AREGAK Universal Credit Organization CJSC;Armenia;2012;Eastern Europe and Central Asia;NBFI;AREGAK UCO;2012-12-31;41;2006;1;104208;4;32033554,69;28102;0;0;0;28146;3623;24523;0;28254462,56;4916175,230;23338287,33000;0,00;1003,85;0,2713;0,2717;2,4679;0,2630;0,0236;0,0926;104,7638;104,5862;0,004300;0,002200;0,0129;0,0129;4;TRUE;-5,44914025628261989;-6,1192979186178666;6;8,26003583697258e-01;6,91160144225045;1,25532525639288e-01;10,24359602716628;7,73537083449029961;36,76000000000000;69,308;4,676727877655670;9,42475853227752;17,912681952639701;18,0330189489985990;29,6;2,5580200775790698;40,06005510466670;21,278886950528701;50,3973638301997013;75,0;50,7;92,9;-0,58800148963928200;-0,026902403682470301;0,334273397922515980;-0,570491433143615945;-0,41828197240829501;0,154794976115226995;10289,97563126710;105883598,49207075;36,1;0,755;0,570025;68,80000000;5,6;5,9;8,82636337247188;"2008; 2011; 2018; 2021"
18;AREGAK Universal Credit Organization CJSC;Armenia;2013;Eastern Europe and Central Asia;NBFI;AREGAK UCO;2013-12-31;41;2006;1;104208;3;35640491,42;27946;0;0;0;28828;5408;23420;0;33940856,90;6338241,760;27602615,14000;0,00;1177,36;0,3098;0,3196;2,0303;0,2664;0,0247;0,1075;129,8140;127,7042;0,004800;0,002900;0,0011;0,0011;4;TRUE;-5,33913936106829201;-5,8430445419897090;7;8,13256283461718e-01;7,07102764890289;4,88628839645560e-02;10,23802935564039;3,76412964842652009;36,83600000000000;69,494;3,111931481257960;9,68257531952384;18,434762883496798;19,7113750362955997;30,6;5,7896677854465404;42,38024048692100;21,737458753601601;53,9140528374902033;75,0;50,7;93,1;-0,53045022487640403;0,085326582193374606;0,235182687640190013;-0,588030815124512052;-0,34097123146057101;0,110385142266750003;10677,30365481950;114004813,33722185;36,5;0,760;0,577600;69,40000000;5,9;5,6;8,82636337247188;"2008; 2011; 2018; 2021"
19;AREGAK Universal Credit Organization CJSC;Armenia;2014;Eastern Europe and Central Asia;NBFI;AREGAK UCO;2014-12-31;41;2006;1;104208;2;34508995,08;28163;0;0;0;29832;0;22791;7041;33012842,54;5920181,130;27092661,41000;0,00;1106,63;0,2912;0,3085;2,1185;0,2932;0,0289;0,0967;120,8566;115,6008;0,013400;0,008300;NA;NA;4;TRUE;-4,31250057202527159;-4,7914997641795845;8;8,20670361153336e-01;7,00907028974471;4,43233633713795e-02;10,24576433868853;4,01064593319273044;36,88800000000000;69,717;3,502114247195270;9,66640553649803;18,072036347066199;17,9044403119023983;31,5;2,9813086893367302;48,91717310638410;22,709996769181600;59,4316330544430969;75,0;52,6;93,1;-0,56515538692474399;-0,251768827438353993;0,158519908785820007;-0,562072694301605003;-0,41779625415802002;-0,297135800123214999;11105,53249962610;123332852,10025154;36,8;0,764;0,583696;68,90000000;5,8;5,3;8,82636337247188;"2008; 2011; 2018; 2021"
20;ASA;Bangladesh;2008;South Asia;NGO;ASA;2008-12-31;42;1978;1;100294;4;507483935,47;5877440;0;0;5877440;5877440;5877440;0;0;463079866,00;463079866,000;0,00000;0,00;78,79;0,1515;0,1515;1,3521;0,2259;0,0194;0,1336;10,9908;10,9908;0,044700;0,036400;0,0052;0,0044;4;TRUE;-3,10778177736261396;-3,3131865043394422;30;0,00000000000000e+00;4,36677824301260;9,15655201979931e-02;15,58663185092231;5,07673024802307005;71,03200000000000;59,032;1,449748396009400;16,12436697269300;17,595695542199199;9,7571612861557000;NA;8,9019448946515496;34,04219174648180;7,183728868583480;0,8434421232754130;NA;NA;NA;-1,04678833484649991;-0,737818300724029985;-0,914517819881438987;-0,442116975784301980;-0,75237357616424605;-1,508331298828130107;3124,22679727975;9760793,08084088;34,3;0,530;0,280900;44,20676636;7,1;9,0;9,53343445822026;"2002; 2018"
21;ASA;Bangladesh;2009;South Asia;NGO;ASA;2009-12-31;42;1978;1;100294;4;592753624,76;4000401;4000401;0;0;4000401;4000401;0;0;456298851,65;456298851,650;0,00000;0,00;114,06;0,1967;0,1967;1,5821;0,2127;0,0172;0,1072;11,9434;11,9434;0,043100;0,038000;0,0097;0,0083;4;TRUE;-3,14423228187243486;-3,2701691192557512;31;0,00000000000000e+00;4,73675336517929;2,61630868810497e-01;15,20190516405947;4,12468580681646024;70,29100000000000;58,870;0,879494542360121;16,48018606048350;17,104629051963201;10,2662760920969003;NA;5,4234723617467804;36,19103756525220;7,399998388480880;1,2857649421565100;NA;NA;NA;-1,07525122165679998;-0,802224457263946977;-0,866342842578888050;-0,289043039083481001;-0,78457146883010898;-1,546771407127379927;3253,09133655990;10582603,24400108;34,4;0,541;0,292681;47,46877713;8,0;9,0;9,53343445822026;"2002; 2018"
22;ASA;Bangladesh;2010;South Asia;NGO;ASA;2010-12-31;42;1978;1;100294;4;699641809,95;4467497;0;0;0;4467497;4467497;0;0;531451086,88;531451086,880;0,00000;0,00;118,96;0,1878;0,1878;1,8284;0,2166;0,0160;0,1004;15,3200;15,3200;0,024000;0,021600;0,0100;0,0073;4;TRUE;-3,72970144863419106;-3,8350619642920178;32;0,00000000000000e+00;4,77878286856462;2,74957338909481e-01;15,31233885449899;4,37348466696671956;69,53800000000000;58,707;1,068934861110640;16,12122835920060;17,001181259291901;9,4121256483671392;32,1;8,1266763916991902;40,96132262923420;7,659615990811330;2,1131692919498999;NA;NA;NA;-1,05408024787903010;-0,752631783485413042;-0,857593059539795033;-0,268090695142746027;-0,80101329088211104;-1,425789475440979892;3395,36478736678;11528502,03929026;34,4;0,553;0,305809;51,10000000;7,9;8,8;9,53343445822026;"2002; 2018"
23;ASA;Bangladesh;2011;South Asia;NGO;ASA;2011-12-31;42;1978;1;100294;4;722953958,66;4359218;0;0;0;4359218;4359218;0;0;579777717,31;579777717,310;0,00000;0,00;133,00;0,1769;0,1769;1,9300;0,2544;0,0379;0,0880;14,1895;14,1895;0,023200;0,019600;0,0080;0,0052;4;TRUE;-3,76360300030987283;-3,9322257127456655;33;0,00000000000000e+00;4,89035210058946;2,20700755097158e-01;15,28780324144052;5,17452087467107003;68,77500000000001;58,545;0,983166533919391;15,99673424989470;16,809986757350298;9,3837582482104906;NA;11,3951651552398996;42,47024116297720;7,869341809169300;3,7090231938202400;NA;NA;NA;-1,09738862514496005;-0,771310925483703946;-0,817078590393065962;-0,315068930387497004;-0,73333555459976196;-1,404736876487729935;3571,05864706030;12752459,86074414;34,4;0,561;0,314721;53,00000000;7,7;8,4;9,53343445822026;"2002; 2018"
24;ASA Pakistan Limited;Pakistan;2009;South Asia;NBFI;ASA Pakistan;2009-12-31;43;2008;1;111777;4;1770352,52;18283;0;18283;0;18283;0;18283;0;1425359,05;0,000;1425359,05000;0,00;77,96;0,0780;0,0780;0,7037;0,2570;0,0211;0,3439;35,6143;35,6143;0,001100;0,000100;0,0000;0,0000;4;TRUE;-6,81244509917781205;-9,2103403719761818;1;1,00000000000000e+00;4,35620735953084;2,16754943701993e-01;9,81372694532850;0,56473429830079203;65,20699999999999;52,128;1,390402267262450;12,72052478134550;22,717330013461702;5,1839762890191396;NA;13,6477650639761006;22,72278659289290;8,373220120765049;3,9038181377120198;NA;NA;NA;-1,07562577724457009;-0,807771325111389049;-0,584045112133026012;-0,855763971805572954;-0,83897721767425504;-2,644526720047000179;4084,82537302128;16685798,32807844;34,5;0,502;0,252004;56,98230141;6,4;8,8;9,26237703645189;"2001; 2012; 2018"
25;ASA Pakistan Limited;Pakistan;2010;South Asia;NBFI;ASA Pakistan;2010-12-31;43;2008;1;111777;4;9418575,29;85380;0;0;0;85380;4;85376;0;8598579,29;4577,140;8594002,15000;0,00;100,71;0,0949;0,0949;1,2488;0,2913;0,0148;0,1985;12,3983;21,4282;0,011400;0,001700;0,0000;0,0000;4;TRUE;-4,47414192358168705;-6,3771270279199666;2;9,99467686481030e-01;4,61224038842774;9,10868432746711e-02;11,35486716031195;-0,65649693074247795;65,00300000000000;52,682;1,141304858089690;13,07486058380590;23,281589636534498;5,4694579994505998;28,8;12,9388705634890009;21,41291754585800;8,384429857025390;4,2812206652857698;NA;NA;NA;-1,08961069583893000;-0,770817995071411022;-0,613358259201050027;-0,798651278018950972;-0,73780554533004805;-2,675933122634889916;4058,00861982120;16467433,95854316;34,4;0,505;0,255025;55,20000000;6,2;8,4;9,26237703645189;"2001; 2012; 2018"
26;ASA Pakistan Limited;Pakistan;2011;South Asia;NBFI;ASA Pakistan;2011-12-31;43;2008;1;111777;4;16204964,52;142814;0;0;0;142814;22;142792;0;15118942,02;16880,970;15102061,06000;0,00;105,86;0,0892;0,0892;2,0017;0,3803;0,0326;0,1390;15,6077;15,6077;0,012200;0,008300;0,0000;0,0000;4;TRUE;-4,40631932724292597;-4,7914997641795845;3;9,98883455603066e-01;4,66216059074749;6,93692510624180e-02;11,86929836329778;0,60228723022834196;64,79800000000000;52,505;0,620823100122343;13,83010586306740;25,129182707354399;5,7414431951736802;29,7;11,9160927116276998;18,12633374130580;8,528568162438241;4,7189496117643701;NA;NA;NA;-1,08339202404021995;-0,829370141029358021;-0,647816777229308971;-0,829199433326720969;-0,90662819147109996;-2,810035467147829813;4082,44948753995;16666393,81831520;34,5;0,508;0,258064;55,10000000;6,6;8,5;9,26237703645189;"2001; 2012; 2018"
27;ASA Pakistan Limited;Pakistan;2012;South Asia;NBFI;ASA Pakistan;2012-12-31;43;2008;1;111777;4;16190579,90;147437;0;0;0;147437;30;147407;0;15439597,14;23260,000;15416337,14000;0,00;104,72;0,0882;0,0882;1,6561;0,3408;0,0382;0,1388;15,3642;15,4906;0,034200;0,026500;0,0096;0,0096;4;TRUE;-3,37552963491357749;-3,6306105459899607;4;9,98493484008094e-01;4,65128976537480;4,74941331671869e-02;11,90115624487680;1,66263301076835002;64,59200000000000;52,833;0,382826516848328;14,01583318783830;23,710248671837999;6,2424342508667303;NA;9,6823518605567997;16,94004447817530;8,750521777277800;5,2868970730228702;NA;NA;NA;-1,06879222393036000;-0,778008282184601052;-0,722233474254608043;-0,843582153320313055;-0,88342016935348500;-2,677003622055050158;4150,32564036774;17225202,92109389;34,5;0,513;0,263169;54,70000000;7,2;8,2;9,26237703645189;"2001; 2012; 2018"
